"id","overallcond","overallcond_labelled"
1,"Average",5
2,"Very Good",8
3,"Average",5
4,"Average",5
5,"Average",5
6,"Average",5
7,"Average",5
9,"Average",5
10,"Above Average",6
11,"Average",5
12,"Average",5
14,"Average",5
16,"Very Good",8
18,"Average",5
19,"Average",5
20,"Above Average",6
21,"Average",5
22,"Good",7
23,"Average",5
24,"Good",7
26,"Average",5
27,"Good",7
28,"Average",5
29,"Above Average",6
30,"Above Average",6
31,"Below Average",4
33,"Average",5
34,"Average",5
35,"Average",5
36,"Average",5
37,"Average",5
38,"Above Average",6
39,"Good",7
40,"Average",5
41,"Average",5
42,"Above Average",6
45,"Above Average",6
46,"Average",5
47,"Average",5
48,"Average",5
49,"Average",5
50,"Good",7
52,"Above Average",6
53,"Average",5
54,"Average",5
55,"Average",5
56,"Average",5
57,"Average",5
58,"Average",5
59,"Average",5
60,"Good",7
61,"Average",5
62,"Good",7
63,"Average",5
64,"Above Average",6
66,"Average",5
68,"Average",5
69,"Above Average",6
70,"Below Average",4
71,"Above Average",6
72,"Above Average",6
73,"Average",5
74,"Good",7
75,"Above Average",6
76,"Average",5
78,"Average",5
79,"Average",5
80,"Above Average",6
81,"Above Average",6
82,"Average",5
83,"Average",5
84,"Average",5
86,"Average",5
87,"Average",5
88,"Average",5
89,"Poor",2
90,"Average",5
91,"Average",5
92,"Fair",3
93,"Good",7
94,"Above Average",6
95,"Average",5
97,"Average",5
98,"Average",5
99,"Average",5
100,"Average",5
102,"Average",5
103,"Average",5
104,"Average",5
106,"Average",5
107,"Good",7
108,"Average",5
109,"Good",7
110,"Above Average",6
111,"Below Average",4
113,"Average",5
115,"Very Good",8
116,"Average",5
118,"Average",5
119,"Average",5
120,"Average",5
122,"Average",5
123,"Good",7
124,"Average",5
125,"Average",5
126,"Very Good",8
128,"Good",7
129,"Average",5
130,"Good",7
131,"Above Average",6
133,"Above Average",6
135,"Above Average",6
136,"Above Average",6
138,"Average",5
139,"Average",5
140,"Average",5
141,"Average",5
142,"Average",5
143,"Below Average",4
144,"Average",5
145,"Average",5
146,"Average",5
147,"Good",7
149,"Average",5
151,"Above Average",6
152,"Average",5
155,"Average",5
156,"Average",5
157,"Good",7
158,"Average",5
159,"Average",5
160,"Average",5
162,"Average",5
163,"Average",5
164,"Above Average",6
165,"Good",7
166,"Good",7
168,"Average",5
169,"Average",5
214,"Average",5
172,"Average",5
173,"Good",7
174,"Average",5
175,"Average",5
176,"Good",7
177,"Average",5
179,"Average",5
180,"Above Average",6
182,"Above Average",6
183,"Above Average",6
184,"Average",5
185,"Very Good",8
186,"Excellent",9
188,"Good",7
189,"Average",5
190,"Average",5
191,"Very Good",8
193,"Average",5
194,"Average",5
195,"Good",7
196,"Above Average",6
197,"Average",5
198,"Below Average",4
199,"Above Average",6
200,"Average",5
201,"Average",5
202,"Above Average",6
203,"Above Average",6
205,"Good",7
206,"Average",5
207,"Average",5
210,"Good",7
211,"Above Average",6
212,"Average",5
213,"Average",5
216,"Above Average",6
217,"Average",5
218,"Below Average",4
220,"Average",5
221,"Average",5
223,"Above Average",6
224,"Above Average",6
225,"Average",5
226,"Average",5
227,"Average",5
228,"Above Average",6
229,"Average",5
230,"Average",5
231,"Above Average",6
232,"Average",5
233,"Average",5
234,"Above Average",6
236,"Fair",3
237,"Average",5
239,"Average",5
240,"Below Average",4
241,"Average",5
242,"Excellent",9
243,"Below Average",4
244,"Above Average",6
246,"Average",5
247,"Very Good",8
248,"Average",5
249,"Average",5
251,"Poor",2
252,"Average",5
253,"Average",5
254,"Good",7
255,"Above Average",6
256,"Average",5
257,"Average",5
258,"Average",5
259,"Average",5
260,"Average",5
261,"Average",5
262,"Average",5
263,"Good",7
264,"Good",7
265,"Average",5
266,"Above Average",6
267,"Average",5
268,"Very Good",8
269,"Above Average",6
271,"Average",5
272,"Good",7
273,"Good",7
274,"Above Average",6
275,"Good",7
276,"Good",7
277,"Average",5
278,"Average",5
279,"Average",5
280,"Average",5
281,"Above Average",6
282,"Average",5
283,"Average",5
284,"Average",5
285,"Average",5
286,"Average",5
287,"Good",7
290,"Good",7
291,"Average",5
292,"Above Average",6
293,"Below Average",4
295,"Average",5
296,"Above Average",6
297,"Average",5
298,"Average",5
299,"Above Average",6
300,"Very Good",8
1380,"Average",5
301,"Average",5
302,"Average",5
303,"Average",5
304,"Good",7
305,"Excellent",9
306,"Average",5
307,"Average",5
310,"Average",5
312,"Above Average",6
313,"Good",7
314,"Average",5
315,"Good",7
316,"Average",5
317,"Good",7
318,"Average",5
319,"Average",5
321,"Average",5
322,"Average",5
323,"Average",5
324,"Very Good",8
325,"Good",7
326,"Above Average",6
327,"Average",5
328,"Average",5
330,"Average",5
332,"Above Average",6
333,"Average",5
334,"Average",5
335,"Average",5
337,"Average",5
338,"Average",5
339,"Good",7
340,"Good",7
341,"Average",5
342,"Below Average",4
344,"Average",5
345,"Fair",3
346,"Average",5
349,"Average",5
350,"Average",5
351,"Average",5
353,"Above Average",6
354,"Very Good",8
355,"Average",5
356,"Average",5
358,"Average",5
359,"Below Average",4
360,"Average",5
363,"Average",5
364,"Very Good",8
366,"Good",7
368,"Average",5
369,"Above Average",6
372,"Below Average",4
373,"Average",5
374,"Above Average",6
375,"Average",5
377,"Average",5
378,"Average",5
379,"Poor",2
380,"Average",5
381,"Above Average",6
382,"Average",5
383,"Average",5
384,"Fair",3
386,"Average",5
387,"Fair",3
388,"Above Average",6
389,"Average",5
390,"Average",5
391,"Very Good",8
392,"Average",5
395,"Above Average",6
396,"Above Average",6
397,"Average",5
398,"Average",5
399,"Poor",2
400,"Average",5
401,"Average",5
402,"Average",5
403,"Very Good",8
404,"Average",5
407,"Average",5
408,"Good",7
409,"Average",5
410,"Average",5
411,"Fair",3
412,"Average",5
414,"Above Average",6
415,"Average",5
416,"Average",5
417,"Good",7
418,"Above Average",6
419,"Above Average",6
420,"Above Average",6
421,"Average",5
423,"Average",5
424,"Average",5
425,"Average",5
426,"Very Good",8
428,"Above Average",6
429,"Average",5
430,"Average",5
431,"Average",5
432,"Good",7
433,"Average",5
434,"Average",5
435,"Good",7
436,"Above Average",6
437,"Very Good",8
438,"Good",7
439,"Above Average",6
440,"Very Good",8
441,"Average",5
442,"Below Average",4
443,"Good",7
444,"Average",5
445,"Average",5
446,"Average",5
447,"Above Average",6
449,"Above Average",6
450,"Good",7
451,"Very Good",8
452,"Average",5
454,"Average",5
455,"Average",5
456,"Above Average",6
457,"Average",5
461,"Average",5
462,"Excellent",9
463,"Average",5
464,"Good",7
465,"Average",5
467,"Average",5
468,"Good",7
469,"Average",5
470,"Average",5
472,"Above Average",6
473,"Average",5
474,"Average",5
475,"Average",5
476,"Above Average",6
477,"Average",5
478,"Average",5
479,"Average",5
480,"Good",7
481,"Average",5
482,"Average",5
483,"Very Good",8
484,"Average",5
486,"Good",7
487,"Good",7
488,"Above Average",6
489,"Below Average",4
490,"Very Good",8
492,"Good",7
493,"Average",5
494,"Above Average",6
495,"Very Good",8
496,"Average",5
498,"Above Average",6
499,"Good",7
500,"Good",7
501,"Average",5
502,"Average",5
503,"Good",7
504,"Very Good",8
505,"Average",5
506,"Average",5
507,"Average",5
508,"Average",5
509,"Excellent",9
510,"Above Average",6
511,"Good",7
512,"Average",5
513,"Average",5
514,"Average",5
515,"Average",5
516,"Average",5
518,"Average",5
520,"Excellent",9
521,"Good",7
522,"Above Average",6
523,"Good",7
524,"Average",5
525,"Average",5
526,"Average",5
527,"Good",7
528,"Average",5
529,"Good",7
531,"Average",5
532,"Very Good",8
533,"Good",7
534,"Fair",3
535,"Average",5
536,"Good",7
537,"Average",5
541,"Average",5
543,"Average",5
544,"Average",5
545,"Average",5
547,"Good",7
548,"Good",7
549,"Good",7
550,"Average",5
551,"Above Average",6
552,"Above Average",6
553,"Average",5
554,"Average",5
555,"Average",5
556,"Above Average",6
557,"Average",5
558,"Above Average",6
559,"Average",5
562,"Average",5
563,"Above Average",6
564,"Good",7
566,"Below Average",4
567,"Average",5
568,"Average",5
569,"Very Good",8
571,"Average",5
572,"Above Average",6
573,"Average",5
574,"Average",5
575,"Good",7
576,"Average",5
577,"Good",7
578,"Above Average",6
579,"Average",5
580,"Average",5
582,"Average",5
583,"Average",5
584,"Excellent",9
585,"Good",7
586,"Average",5
587,"Good",7
588,"Above Average",6
589,"Very Good",8
590,"Above Average",6
591,"Average",5
592,"Average",5
593,"Very Good",8
595,"Above Average",6
596,"Average",5
597,"Good",7
598,"Average",5
599,"Above Average",6
600,"Above Average",6
601,"Average",5
602,"Above Average",6
603,"Average",5
604,"Average",5
605,"Average",5
606,"Above Average",6
607,"Average",5
608,"Very Good",8
609,"Above Average",6
610,"Average",5
614,"Average",5
615,"Above Average",6
616,"Good",7
618,"Above Average",6
619,"Average",5
620,"Average",5
621,"Fair",3
622,"Good",7
623,"Above Average",6
625,"Average",5
626,"Above Average",6
628,"Above Average",6
629,"Average",5
630,"Average",5
631,"Above Average",6
632,"Average",5
633,"Average",5
634,"Good",7
635,"Average",5
636,"Good",7
637,"Fair",3
638,"Below Average",4
639,"Good",7
640,"Average",5
641,"Average",5
643,"Good",7
644,"Average",5
645,"Average",5
1381,"Fair",3
647,"Average",5
648,"Average",5
649,"Average",5
650,"Above Average",6
651,"Above Average",6
652,"Average",5
653,"Average",5
654,"Good",7
655,"Above Average",6
656,"Average",5
657,"Good",7
658,"Above Average",6
659,"Average",5
660,"Good",7
662,"Good",7
663,"Fair",3
664,"Average",5
