"id","overallqual","overallqual_labelled"
1,"Good",7
2,"Above Average",6
3,"Good",7
4,"Good",7
5,"Very Good",8
6,"Average",5
7,"Very Good",8
9,"Good",7
10,"Average",5
11,"Average",5
12,"Excellent",9
14,"Good",7
16,"Good",7
18,"Below Average",4
19,"Average",5
20,"Average",5
21,"Very Good",8
22,"Good",7
23,"Very Good",8
24,"Average",5
26,"Very Good",8
27,"Average",5
28,"Very Good",8
29,"Average",5
30,"Below Average",4
31,"Below Average",4
33,"Very Good",8
34,"Average",5
35,"Excellent",9
36,"Very Good",8
37,"Average",5
38,"Average",5
39,"Average",5
40,"Below Average",4
41,"Above Average",6
42,"Average",5
45,"Average",5
46,"Excellent",9
47,"Good",7
48,"Very Good",8
49,"Below Average",4
50,"Average",5
52,"Above Average",6
53,"Average",5
54,"Excellent",9
55,"Average",5
56,"Above Average",6
57,"Very Good",8
58,"Good",7
59,"Very Excellent",10
60,"Average",5
61,"Above Average",6
62,"Average",5
63,"Very Good",8
64,"Good",7
66,"Very Good",8
68,"Good",7
69,"Below Average",4
70,"Good",7
71,"Good",7
72,"Below Average",4
73,"Good",7
74,"Average",5
75,"Fair",3
76,"Below Average",4
78,"Average",5
79,"Below Average",4
80,"Average",5
81,"Above Average",6
82,"Above Average",6
83,"Very Good",8
84,"Average",5
86,"Very Good",8
87,"Above Average",6
88,"Above Average",6
89,"Fair",3
90,"Below Average",4
91,"Below Average",4
92,"Average",5
93,"Average",5
94,"Above Average",6
95,"Above Average",6
97,"Good",7
98,"Below Average",4
99,"Average",5
100,"Below Average",4
102,"Above Average",6
103,"Average",5
104,"Good",7
106,"Very Good",8
107,"Below Average",4
108,"Average",5
109,"Average",5
110,"Above Average",6
111,"Above Average",6
113,"Good",7
115,"Above Average",6
116,"Above Average",6
118,"Average",5
119,"Good",7
120,"Above Average",6
122,"Below Average",4
123,"Above Average",6
124,"Above Average",6
125,"Above Average",6
126,"Above Average",6
128,"Average",5
129,"Above Average",6
130,"Average",5
131,"Good",7
133,"Average",5
135,"Average",5
136,"Good",7
138,"Good",7
139,"Very Good",8
140,"Above Average",6
141,"Below Average",4
142,"Good",7
143,"Average",5
144,"Good",7
145,"Average",5
146,"Above Average",6
147,"Average",5
149,"Good",7
151,"Average",5
152,"Very Good",8
155,"Above Average",6
156,"Above Average",6
157,"Average",5
158,"Very Good",8
159,"Good",7
160,"Good",7
162,"Excellent",9
163,"Good",7
164,"Below Average",4
165,"Above Average",6
166,"Average",5
168,"Very Good",8
169,"Good",7
214,"Average",5
172,"Above Average",6
173,"Good",7
174,"Above Average",6
175,"Above Average",6
176,"Above Average",6
177,"Above Average",6
179,"Excellent",9
180,"Average",5
182,"Good",7
183,"Average",5
184,"Good",7
185,"Average",5
186,"Very Excellent",10
188,"Average",5
189,"Average",5
190,"Very Good",8
191,"Very Good",8
193,"Good",7
194,"Good",7
195,"Average",5
196,"Above Average",6
197,"Good",7
198,"Very Good",8
199,"Above Average",6
200,"Very Good",8
201,"Below Average",4
202,"Above Average",6
203,"Above Average",6
205,"Average",5
206,"Good",7
207,"Average",5
210,"Above Average",6
211,"Average",5
212,"Above Average",6
213,"Good",7
216,"Average",5
217,"Good",7
218,"Below Average",4
220,"Good",7
221,"Good",7
223,"Above Average",6
224,"Below Average",4
225,"Very Excellent",10
226,"Average",5
227,"Good",7
228,"Above Average",6
229,"Average",5
230,"Good",7
231,"Above Average",6
232,"Very Good",8
233,"Above Average",6
234,"Average",5
236,"Above Average",6
237,"Good",7
239,"Very Good",8
240,"Above Average",6
241,"Very Good",8
242,"Average",5
243,"Average",5
244,"Above Average",6
246,"Good",7
247,"Above Average",6
248,"Above Average",6
249,"Good",7
251,"Fair",3
252,"Very Good",8
253,"Above Average",6
254,"Above Average",6
255,"Average",5
256,"Good",7
257,"Above Average",6
258,"Good",7
259,"Good",7
260,"Average",5
261,"Above Average",6
262,"Very Good",8
263,"Above Average",6
264,"Average",5
265,"Average",5
266,"Above Average",6
267,"Above Average",6
268,"Average",5
269,"Average",5
271,"Very Good",8
272,"Good",7
273,"Very Good",8
274,"Above Average",6
275,"Average",5
276,"Good",7
277,"Good",7
278,"Below Average",4
279,"Excellent",9
280,"Good",7
281,"Good",7
282,"Above Average",6
283,"Good",7
284,"Very Good",8
285,"Above Average",6
286,"Good",7
287,"Above Average",6
290,"Above Average",6
291,"Very Good",8
292,"Average",5
293,"Average",5
295,"Above Average",6
296,"Above Average",6
297,"Average",5
298,"Good",7
299,"Above Average",6
300,"Above Average",6
1380,"Average",5
301,"Average",5
302,"Very Good",8
303,"Good",7
304,"Average",5
305,"Good",7
306,"Very Good",8
307,"Good",7
310,"Excellent",9
312,"Above Average",6
313,"Average",5
314,"Good",7
315,"Good",7
316,"Good",7
317,"Good",7
318,"Very Good",8
319,"Good",7
321,"Excellent",9
322,"Very Good",8
323,"Good",7
324,"Fair",3
325,"Good",7
326,"Average",5
327,"Very Good",8
328,"Above Average",6
330,"Average",5
332,"Average",5
333,"Very Good",8
334,"Good",7
335,"Above Average",6
337,"Excellent",9
338,"Good",7
339,"Good",7
340,"Above Average",6
341,"Very Good",8
342,"Below Average",4
344,"Excellent",9
345,"Average",5
346,"Above Average",6
349,"Good",7
350,"Excellent",9
351,"Excellent",9
353,"Average",5
354,"Above Average",6
355,"Above Average",6
356,"Above Average",6
358,"Average",5
359,"Average",5
360,"Very Good",8
363,"Good",7
364,"Above Average",6
366,"Average",5
368,"Above Average",6
369,"Average",5
372,"Below Average",4
373,"Above Average",6
374,"Average",5
375,"Good",7
377,"Average",5
378,"Very Good",8
379,"Excellent",9
380,"Above Average",6
381,"Average",5
382,"Good",7
383,"Good",7
384,"Above Average",6
386,"Very Good",8
387,"Average",5
388,"Above Average",6
389,"Good",7
390,"Very Excellent",10
391,"Average",5
392,"Above Average",6
395,"Average",5
396,"Average",5
397,"Average",5
398,"Average",5
399,"Average",5
400,"Good",7
401,"Very Good",8
402,"Good",7
403,"Average",5
404,"Very Good",8
407,"Above Average",6
408,"Above Average",6
409,"Good",7
410,"Very Good",8
411,"Average",5
412,"Average",5
414,"Average",5
415,"Good",7
416,"Good",7
417,"Above Average",6
418,"Above Average",6
419,"Average",5
420,"Average",5
421,"Good",7
423,"Average",5
424,"Very Good",8
425,"Above Average",6
426,"Good",7
428,"Below Average",4
429,"Good",7
430,"Above Average",6
431,"Above Average",6
432,"Above Average",6
433,"Average",5
434,"Above Average",6
435,"Below Average",4
436,"Good",7
437,"Above Average",6
438,"Above Average",6
439,"Average",5
440,"Above Average",6
441,"Very Excellent",10
442,"Below Average",4
443,"Average",5
444,"Good",7
445,"Good",7
446,"Above Average",6
447,"Above Average",6
449,"Above Average",6
450,"Fair",3
451,"Above Average",6
452,"Good",7
454,"Very Good",8
455,"Average",5
456,"Good",7
457,"Average",5
461,"Very Good",8
462,"Good",7
463,"Average",5
464,"Above Average",6
465,"Average",5
467,"Good",7
468,"Average",5
469,"Very Good",8
470,"Above Average",6
472,"Good",7
473,"Above Average",6
474,"Very Good",8
475,"Very Good",8
476,"Average",5
477,"Above Average",6
478,"Excellent",9
479,"Very Good",8
480,"Below Average",4
481,"Excellent",9
482,"Excellent",9
483,"Good",7
484,"Above Average",6
486,"Average",5
487,"Average",5
488,"Average",5
489,"Average",5
490,"Below Average",4
492,"Above Average",6
493,"Above Average",6
494,"Average",5
495,"Average",5
496,"Below Average",4
498,"Good",7
499,"Average",5
500,"Average",5
501,"Above Average",6
502,"Good",7
503,"Average",5
504,"Good",7
505,"Above Average",6
506,"Average",5
507,"Very Good",8
508,"Above Average",6
509,"Good",7
510,"Average",5
511,"Average",5
512,"Good",7
513,"Average",5
514,"Above Average",6
515,"Average",5
516,"Very Excellent",10
518,"Good",7
520,"Good",7
521,"Below Average",4
522,"Above Average",6
523,"Above Average",6
524,"Very Excellent",10
525,"Good",7
526,"Good",7
527,"Average",5
528,"Excellent",9
529,"Below Average",4
531,"Above Average",6
532,"Above Average",6
533,"Average",5
534,"Very Poor",1
535,"Very Good",8
536,"Average",5
537,"Good",7
541,"Excellent",9
543,"Good",7
544,"Good",7
545,"Good",7
547,"Above Average",6
548,"Average",5
549,"Average",5
550,"Good",7
551,"Above Average",6
552,"Average",5
553,"Very Good",8
554,"Below Average",4
555,"Good",7
556,"Average",5
557,"Average",5
558,"Below Average",4
559,"Good",7
562,"Average",5
