"id","mssubclass","lotshape","lotshape_mean"
1269,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular",0.33
652,"2-STORY 1945 & OLDER","Regular",0.63
273,"2-STORY 1946 & NEWER","Slightly irregular",0.33
51,"2-STORY 1946 & NEWER","Moderately Irregular",0.03
1091,"DUPLEX - ALL STYLES AND AGES","Regular",0.63
951,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
839,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
70,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1075,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
350,"2-STORY 1946 & NEWER","Moderately Irregular",0.03
758,"2-STORY 1946 & NEWER","Slightly irregular",0.33
539,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1108,"2-STORY 1946 & NEWER","Irregular",0.01
1128,"1-STORY 1946 & NEWER ALL STYLES","Irregular",0.01
1284,"DUPLEX - ALL STYLES AND AGES","Regular",0.63
874,"1-STORY W/FINISHED ATTIC ALL AGES","Regular",0.63
278,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1136,"1-STORY 1945 & OLDER","Regular",0.63
946,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
176,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
576,"1-1/2 STORY FINISHED ALL AGES","Regular",0.63
1003,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
1045,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
292,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Regular",0.63
1331,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
929,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
663,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
1307,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Slightly irregular",0.33
770,"2-STORY 1946 & NEWER","Moderately Irregular",0.03
271,"2-STORY 1946 & NEWER","Regular",0.63
22,"1-1/2 STORY - UNFINISHED ALL AGES","Regular",0.63
417,"2-STORY 1946 & NEWER","Regular",0.63
1373,"2-STORY 1946 & NEWER","Regular",0.63
764,"2-STORY 1946 & NEWER","Regular",0.63
556,"1-1/2 STORY - UNFINISHED ALL AGES","Regular",0.63
1175,"2-STORY 1945 & OLDER","Slightly irregular",0.33
529,"1-STORY 1945 & OLDER","Slightly irregular",0.33
1268,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0.33
638,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Regular",0.63
791,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular",0.63
775,"1-STORY 1946 & NEWER ALL STYLES","Regular",0.63
940,"2-STORY 1945 & OLDER","Regular",0.63
