"id","mssubclass","lotfrontage","lotarea","garagearea","grlivarea","totalbsmtsf","saleprice","lotfrontage_meannorm","lotarea_meannorm","garagearea_meannorm","grlivarea_meannorm","totalbsmtsf_meannorm","saleprice_meannorm"
1269,"1-1/2 STORY FINISHED ALL AGES",NULL,14100,1014,3447,728,381000,NULL,0.01674809842626945710,0.38153727998145178427,0.36389154132815806588,-0.05391644059816604264,0.27784863784139569643
652,"2-STORY 1945 & OLDER",60,9084,296,1510,755,108000,-0.03441766564392686473,-0.00669717956573783449,-0.12480968757849179824,-0.00102933282406499365,-0.04949745532811694280,-0.10126537410139002777
273,"2-STORY 1946 & NEWER",92,11764,671,2270,1152,290000,0.07517137545196354623,0.00582940436938567856,0.13964729408582413970,0.14215077267706537560,0.01547799475371611776,0.15147730052713378836
51,"2-STORY 1946 & NEWER",NULL,13869,388,1470,794,177000,NULL,0.01566838167663754236,-0.05992957474351295480,-0.00856512785044027624,-0.04311447660471268748,-0.00544534910486176781
1091,"DUPLEX - ALL STYLES AND AGES",60,8544,400,1040,0,92900,-0.03441766564392686473,-0.00922119274669555727,-0.05146695133025484478,-0.08957492438397456411,-0.17306537676837880859,-0.12223468391947084988
951,"1-STORY 1946 & NEWER ALL STYLES",60,7200,720,864,864,129000,-0.03441766564392686473,-0.01550318110819033396,0.17420300635662808893,-0.12273242250002580752,-0.03165784812680761383,-0.07210275779809881822
839,"1-STORY 1946 & NEWER ALL STYLES",75,9525,352,1099,1099,144000,0.01695219736977176541,-0.00463590213462236089,-0.08531744498328728484,-0.07845962672007102229,0.00680369033473084771,-0.05127231758146223997
70,"1-1/2 STORY FINISHED ALL AGES",81,15593,667,2287,1304,225000,0.03750014257525121747,0.02372652746176923508,0.13682641961473810303,0.14535348556327487070,0.04035524516288142054,0.06121205958837528260
1075,"1-STORY 1946 & NEWER ALL STYLES",74,8556,826,1240,1240,194000,0.01352753983552519007,-0.00916510356489649676,0.24895617984040806072,-0.05189594925209815115,0.02988061341165392463,0.01816248314065968754
350,"2-STORY 1946 & NEWER",56,20431,706,2728,1848,437154,-0.04811629578091316610,0.04633981592375712917,0.16432994570782696058,0.22843562572906236128,0.12938961504831513576,0.35582947383639639078
758,"2-STORY 1946 & NEWER",NULL,11616,440,1386,672,158900,NULL,0.00513763779386393232,-0.02325820661939447807,-0.02439029740582836969,-0.06308174338049010155,-0.03058074696626990557
539,"1-STORY 1946 & NEWER ALL STYLES",NULL,11553,336,1159,1051,158000,NULL,0.00484316958941886466,-0.09660094286763143152,-0.06715593418050809840,-0.00105228347868977422,-0.03183057337926810026
1108,"2-STORY 1946 & NEWER",168,23257,422,2021,868,274725,0.33544534805470327226,0.05954881823743587838,-0.03595214173928164309,0.09524044863787924147,-0.03100318364235589534,0.13026496890652553951
1128,"1-STORY 1946 & NEWER ALL STYLES",182,14572,630,1530,1530,259000,0.38339055353415532705,0.01895427291036583701,0.11073333075719226382,0.00273856468912264765,0.07734378853440351547,0.10842772407941819331
1284,"DUPLEX - ALL STYLES AND AGES",94,9400,0,1824,912,139000,0.08202069052045669692,-0.00522016444502924116,-0.33355439843885851192,0.05812665813298097470,-0.02380187431338699190,-0.05821579765367443272
874,"1-STORY W/FINISHED ATTIC ALL AGES",60,12144,288,1268,832,133000,-0.03441766564392686473,0.00760556179302259459,-0.13045143652066387158,-0.04662089273363545333,-0.03689516400242136178,-0.06654797374032906402
278,"1-STORY 1946 & NEWER ALL STYLES",140,19138,400,864,864,141000,0.23955493709579916267,0.04029620658490835963,-0.05146695133025484478,-0.12273242250002580752,-0.03165784812680761383,-0.05543840562478955562
1136,"1-STORY 1945 & OLDER",60,6180,180,986,960,102000,-0.03441766564392686473,-0.02027076156111047699,-0.20661504723998686171,-0.09974824766958119561,-0.01594590049996636997,-0.10959755018804465908
