"id","landslope","gentle_slope","moderate_slope","severe_slope"
1,"Gentle slope",1,0,0
2,"Gentle slope",1,0,0
3,"Gentle slope",1,0,0
4,"Gentle slope",1,0,0
5,"Gentle slope",1,0,0
6,"Gentle slope",1,0,0
7,"Gentle slope",1,0,0
8,"Gentle slope",1,0,0
9,"Gentle slope",1,0,0
10,"Gentle slope",1,0,0
11,"Gentle slope",1,0,0
12,"Gentle slope",1,0,0
13,"Gentle slope",1,0,0
14,"Gentle slope",1,0,0
15,"Gentle slope",1,0,0
16,"Gentle slope",1,0,0
17,"Gentle slope",1,0,0
18,"Gentle slope",1,0,0
19,"Gentle slope",1,0,0
20,"Gentle slope",1,0,0
21,"Gentle slope",1,0,0
22,"Gentle slope",1,0,0
23,"Gentle slope",1,0,0
24,"Gentle slope",1,0,0
25,"Gentle slope",1,0,0
26,"Gentle slope",1,0,0
27,"Gentle slope",1,0,0
28,"Gentle slope",1,0,0
29,"Gentle slope",1,0,0
30,"Gentle slope",1,0,0
31,"Gentle slope",1,0,0
32,"Gentle slope",1,0,0
33,"Gentle slope",1,0,0
34,"Gentle slope",1,0,0
35,"Gentle slope",1,0,0
36,"Gentle slope",1,0,0
37,"Gentle slope",1,0,0
38,"Gentle slope",1,0,0
39,"Gentle slope",1,0,0
40,"Gentle slope",1,0,0
41,"Gentle slope",1,0,0
42,"Gentle slope",1,0,0
43,"Gentle slope",1,0,0
44,"Gentle slope",1,0,0
45,"Gentle slope",1,0,0
46,"Gentle slope",1,0,0
47,"Gentle slope",1,0,0
48,"Gentle slope",1,0,0
49,"Gentle slope",1,0,0
50,"Gentle slope",1,0,0
51,"Gentle slope",1,0,0
52,"Gentle slope",1,0,0
53,"Moderate Slope",0,1,0
54,"Gentle slope",1,0,0
55,"Moderate Slope",0,1,0
56,"Gentle slope",1,0,0
57,"Gentle slope",1,0,0
58,"Gentle slope",1,0,0
59,"Gentle slope",1,0,0
60,"Gentle slope",1,0,0
61,"Gentle slope",1,0,0
62,"Gentle slope",1,0,0
63,"Gentle slope",1,0,0
64,"Gentle slope",1,0,0
65,"Gentle slope",1,0,0
66,"Gentle slope",1,0,0
67,"Gentle slope",1,0,0
68,"Gentle slope",1,0,0
69,"Gentle slope",1,0,0
70,"Gentle slope",1,0,0
71,"Gentle slope",1,0,0
72,"Gentle slope",1,0,0
73,"Gentle slope",1,0,0
74,"Gentle slope",1,0,0
75,"Gentle slope",1,0,0
76,"Gentle slope",1,0,0
77,"Gentle slope",1,0,0
78,"Gentle slope",1,0,0
79,"Gentle slope",1,0,0
80,"Gentle slope",1,0,0
81,"Gentle slope",1,0,0
82,"Gentle slope",1,0,0
83,"Gentle slope",1,0,0
84,"Gentle slope",1,0,0
85,"Gentle slope",1,0,0
86,"Gentle slope",1,0,0
87,"Gentle slope",1,0,0
88,"Gentle slope",1,0,0
89,"Gentle slope",1,0,0
90,"Gentle slope",1,0,0
91,"Gentle slope",1,0,0
92,"Gentle slope",1,0,0
93,"Gentle slope",1,0,0
94,"Gentle slope",1,0,0
95,"Gentle slope",1,0,0
96,"Gentle slope",1,0,0
97,"Gentle slope",1,0,0
98,"Gentle slope",1,0,0
99,"Gentle slope",1,0,0
100,"Gentle slope",1,0,0
101,"Gentle slope",1,0,0
102,"Gentle slope",1,0,0
103,"Gentle slope",1,0,0
104,"Gentle slope",1,0,0
105,"Gentle slope",1,0,0
106,"Gentle slope",1,0,0
107,"Gentle slope",1,0,0
108,"Gentle slope",1,0,0
109,"Gentle slope",1,0,0
110,"Gentle slope",1,0,0
111,"Gentle slope",1,0,0
112,"Gentle slope",1,0,0
113,"Gentle slope",1,0,0
114,"Gentle slope",1,0,0
115,"Moderate Slope",0,1,0
116,"Gentle slope",1,0,0
117,"Gentle slope",1,0,0
118,"Gentle slope",1,0,0
119,"Gentle slope",1,0,0
120,"Gentle slope",1,0,0
121,"Severe Slope",0,0,1
122,"Gentle slope",1,0,0
123,"Gentle slope",1,0,0
124,"Gentle slope",1,0,0
125,"Gentle slope",1,0,0
126,"Gentle slope",1,0,0
127,"Gentle slope",1,0,0
128,"Gentle slope",1,0,0
129,"Gentle slope",1,0,0
130,"Gentle slope",1,0,0
131,"Gentle slope",1,0,0
132,"Gentle slope",1,0,0
133,"Gentle slope",1,0,0
134,"Gentle slope",1,0,0
135,"Gentle slope",1,0,0
136,"Gentle slope",1,0,0
137,"Gentle slope",1,0,0
138,"Gentle slope",1,0,0
139,"Gentle slope",1,0,0
140,"Gentle slope",1,0,0
141,"Gentle slope",1,0,0
142,"Gentle slope",1,0,0
143,"Gentle slope",1,0,0
144,"Gentle slope",1,0,0
145,"Gentle slope",1,0,0
146,"Gentle slope",1,0,0
147,"Gentle slope",1,0,0
148,"Gentle slope",1,0,0
149,"Gentle slope",1,0,0
150,"Gentle slope",1,0,0
151,"Gentle slope",1,0,0
152,"Gentle slope",1,0,0
153,"Gentle slope",1,0,0
154,"Gentle slope",1,0,0
155,"Gentle slope",1,0,0
156,"Gentle slope",1,0,0
157,"Gentle slope",1,0,0
158,"Gentle slope",1,0,0
159,"Gentle slope",1,0,0
160,"Gentle slope",1,0,0
161,"Gentle slope",1,0,0
162,"Gentle slope",1,0,0
163,"Gentle slope",1,0,0
164,"Gentle slope",1,0,0
165,"Gentle slope",1,0,0
166,"Gentle slope",1,0,0
167,"Gentle slope",1,0,0
168,"Gentle slope",1,0,0
169,"Gentle slope",1,0,0
170,"Gentle slope",1,0,0
171,"Gentle slope",1,0,0
172,"Gentle slope",1,0,0
173,"Gentle slope",1,0,0
174,"Gentle slope",1,0,0
175,"Gentle slope",1,0,0
176,"Gentle slope",1,0,0
177,"Gentle slope",1,0,0
178,"Gentle slope",1,0,0
179,"Gentle slope",1,0,0
180,"Gentle slope",1,0,0
181,"Gentle slope",1,0,0
182,"Gentle slope",1,0,0
183,"Gentle slope",1,0,0
184,"Gentle slope",1,0,0
185,"Gentle slope",1,0,0
186,"Gentle slope",1,0,0
187,"Gentle slope",1,0,0
188,"Gentle slope",1,0,0
189,"Gentle slope",1,0,0
190,"Gentle slope",1,0,0
191,"Moderate Slope",0,1,0
192,"Gentle slope",1,0,0
193,"Gentle slope",1,0,0
194,"Gentle slope",1,0,0
195,"Gentle slope",1,0,0
196,"Gentle slope",1,0,0
197,"Gentle slope",1,0,0
198,"Gentle slope",1,0,0
199,"Gentle slope",1,0,0
200,"Gentle slope",1,0,0
201,"Gentle slope",1,0,0
