"id","lotshape","moderately_irregular","slightly_irregular","regular","irregular"
1,"Regular",0,0,1,0
2,"Regular",0,0,1,0
3,"Slightly irregular",0,1,0,0
4,"Slightly irregular",0,1,0,0
5,"Slightly irregular",0,1,0,0
6,"Slightly irregular",0,1,0,0
7,"Regular",0,0,1,0
8,"Slightly irregular",0,1,0,0
9,"Regular",0,0,1,0
10,"Regular",0,0,1,0
11,"Regular",0,0,1,0
12,"Slightly irregular",0,1,0,0
13,"Moderately Irregular",1,0,0,0
14,"Slightly irregular",0,1,0,0
15,"Slightly irregular",0,1,0,0
16,"Regular",0,0,1,0
17,"Slightly irregular",0,1,0,0
18,"Regular",0,0,1,0
19,"Regular",0,0,1,0
20,"Regular",0,0,1,0
21,"Slightly irregular",0,1,0,0
22,"Regular",0,0,1,0
23,"Regular",0,0,1,0
24,"Regular",0,0,1,0
25,"Slightly irregular",0,1,0,0
26,"Regular",0,0,1,0
27,"Regular",0,0,1,0
28,"Regular",0,0,1,0
29,"Slightly irregular",0,1,0,0
30,"Slightly irregular",0,1,0,0
31,"Regular",0,0,1,0
32,"Slightly irregular",0,1,0,0
33,"Regular",0,0,1,0
34,"Slightly irregular",0,1,0,0
35,"Regular",0,0,1,0
36,"Regular",0,0,1,0
37,"Regular",0,0,1,0
38,"Regular",0,0,1,0
39,"Regular",0,0,1,0
40,"Regular",0,0,1,0
41,"Regular",0,0,1,0
42,"Regular",0,0,1,0
43,"Slightly irregular",0,1,0,0
44,"Slightly irregular",0,1,0,0
45,"Regular",0,0,1,0
46,"Regular",0,0,1,0
47,"Slightly irregular",0,1,0,0
48,"Regular",0,0,1,0
49,"Regular",0,0,1,0
50,"Regular",0,0,1,0
51,"Moderately Irregular",1,0,0,0
52,"Regular",0,0,1,0
53,"Moderately Irregular",1,0,0,0
54,"Slightly irregular",0,1,0,0
55,"Regular",0,0,1,0
56,"Slightly irregular",0,1,0,0
57,"Regular",0,0,1,0
58,"Slightly irregular",0,1,0,0
59,"Moderately Irregular",1,0,0,0
60,"Regular",0,0,1,0
61,"Regular",0,0,1,0
62,"Regular",0,0,1,0
63,"Slightly irregular",0,1,0,0
64,"Slightly irregular",0,1,0,0
65,"Regular",0,0,1,0
66,"Regular",0,0,1,0
67,"Regular",0,0,1,0
68,"Slightly irregular",0,1,0,0
69,"Regular",0,0,1,0
70,"Regular",0,0,1,0
71,"Slightly irregular",0,1,0,0
72,"Regular",0,0,1,0
