"id","mssubclass","lotshape","moderately_irregular_one_hot_encoded_lotshape","slightly_irregular_one_hot_encoded_lotshape","regular_one_hot_encoded_lotshape","irregular_one_hot_encoded_lotshape","lotshape_mean_encoded","landcontour","landslope","gentle_slope_one_hot_encoded_landslope","moderate_slope_encoded_landslope","severe_slope_encoded_landslope","bldgtype","housestyle","overallqual","overallqual_labelled","lotarea","garagearea","grlivarea","totalbsmtsf","saleprice","lotarea_meannorm","garagearea_meannorm","grlivarea_meannorm","totalbsmtsf_meannorm","saleprice_meannorm","lotarea_meannorm-2","garagearea_std","grlivarea_std","totalbsmtsf_std","saleprice_std"
1269,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular",0,1,0,0,0.33,"Near Flat/Level","Moderate Slope",0,1,0,"Single-family Detached","One and one-half story: 2nd level finished","Very Good",8,14100,1014,3447,728,381000,0.016748098426269457,0.38153727998145176,0.36389154132815804,-0.05391644059816604,0.2778486378413957,0.3589897615265612,2.5304378485351915,3.6757533911865874,-0.7509128193524541,2.5185360084202633
652,"2-STORY 1945 & OLDER","Regular",0,0,1,0,0.63,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","Two story","Below Average",4,9084,296,1510,755,108000,-0.006697179565737834,-0.1248096875784918,-0.0010293328240649938,-0.049497455328116946,-0.10126537410139003,-0.14355175339988194,-0.8277648709133266,-0.010397531102006391,-0.6893680910470324,-0.9179116120989741
273,"2-STORY 1946 & NEWER","Slightly irregular",0,1,0,0,0.33,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","Two story","Very Good",8,11764,671,2270,1152,290000,0.005829404369385678,0.13964729408582413,0.14215077267706538,0.015477994753716117,0.1514773005271338,0.12495128886544254,0.9261710898014287,1.4358981327799405,0.21556735848083422,1.3730534682471842
51,"2-STORY 1946 & NEWER","Moderately Irregular",1,0,0,0,0.03,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","Two story","Above Average",6,13869,388,1470,794,177000,0.015668381676637543,-0.05992957474351295,-0.008565127850440276,-0.04311447660471269,-0.005445349104861768,0.3358464022865276,-0.39746591521797336,-0.08651835551684571,-0.6004701501614234,-0.04935891680290312
1091,"DUPLEX - ALL STYLES AND AGES","Regular",0,0,1,0,0.63,"Near Flat/Level","Gentle slope",1,0,0,"Duplex","One story","Fair",3,8544,400,1040,0,92900,-0.009221192746695557,-0.05146695133025485,-0.08957492438397456,-0.1730653767683788,-0.12223468391947084,-0.19765311266229807,-0.3413399644751012,-0.9048172179763684,-2.410341049217157,-1.1079861874463752
951,"1-STORY 1946 & NEWER ALL STYLES","Regular",0,0,1,0,0.63,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One story","Average",5,7200,720,864,864,129000,-0.015503181108190335,0.17420300635662808,-0.1227324225000258,-0.031657848126807615,-0.07210275779809881,-0.3323053846043115,1.1553520553348233,-1.2397488454016614,-0.4409097434436635,-0.6535694874436482
839,"1-STORY 1946 & NEWER ALL STYLES","Regular",0,0,1,0,0.63,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One story","Average",5,9525,352,1099,1099,144000,-0.004635902134622361,-0.08531744498328729,-0.07845962672007102,0.0068036903347308475,-0.05127231758146224,-0.09936897666890877,-0.5658437674465898,-0.7925390019644803,0.0947573362516732,-0.46475368411841533
70,"1-1/2 STORY FINISHED ALL AGES","Regular",0,0,1,0,0.63,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One and one-half story: 2nd level finished","Good",7,15593,667,2287,1304,225000,0.023726527461769235,0.1368264196147381,0.14535348556327488,0.04035524516288142,0.061212059588375285,0.508570001116908,0.9074624395538047,1.4682494831562474,0.5620413844965414,0.554851653837842
1075,"1-STORY 1946 & NEWER ALL STYLES","Regular",0,0,1,0,0.63,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One story","Good",7,8556,826,1240,1240,194000,-0.009165103564896497,0.24895617984040805,-0.05189594925209815,0.029880613411653923,0.01816248314065969,-0.19645086023424438,1.6511312868968608,-0.5242130959021718,0.4161575840688752,0.16463232696569408
350,"2-STORY 1946 & NEWER","Moderately Irregular",1,0,0,0,0.03,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","Two story","Excellent",9,20431,706,2728,1848,437154,0.046339815923757126,0.16432994570782697,0.22843562572906237,0.12938961504831514,0.3558294738363964,0.9932781050272214,1.0898717794681392,2.3074815723298507,1.8020536881317037,3.2253868497486047
758,"2-STORY 1946 & NEWER","Slightly irregular",0,1,0,0,0.33,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","Two story","Above Average",6,11616,440,1386,672,158900,0.0051376377938639325,-0.023258206619394477,-0.02439029740582837,-0.06308174338049011,-0.030580746966269907,0.11012350891944701,-0.1542534619988606,-0.24637208678800826,-0.878561144726662,-0.2771966528153507
539,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0,1,0,0,0.33,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One story","Average",5,11553,336,1159,1051,158000,0.004843169589418865,-0.09660094286763143,-0.0671559341805081,-0.0010522834786897742,-0.0318305733792681,0.10381168367216513,-0.6406783684370861,-0.6783577653422214,-0.014655514069076437,-0.2885256010148647
1108,"2-STORY 1946 & NEWER","Irregular",0,0,0,1,0.01,"Hillside - Significant slope from side to side","Gentle slope",1,0,0,"Single-family Detached","Two story","Good",7,23257,422,2021,868,274725,0.05954881823743588,-0.03595214173928164,0.09524044863787924,-0.031003183642355894,0.13026496890652553,1.2764085518338657,-0.23844238811316887,0.9620460007975659,-0.4317920059169344,1.1807760418609887
1128,"1-STORY 1946 & NEWER ALL STYLES","Irregular",0,0,0,1,0.01,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One story","Good",7,14572,630,1530,1530,259000,0.018954272910365836,0.11073333075719226,0.0027385646891226476,0.07734378853440352,0.1084277240794182,0.4062783570300064,0.7344074247632821,0.02766288110541327,1.0771935547567375,0.9828341413750363
1284,"DUPLEX - ALL STYLES AND AGES","Regular",0,0,1,0,0.63,"Depression","Gentle slope",1,0,0,"Duplex","Two story","Above Average",6,9400,0,1824,912,139000,-0.005220164445029241,-0.33355439843885853,0.05812665813298098,-0.02380187431338699,-0.058215797653674434,-0.11189243946113472,-2.212204989237507,0.5871509405544822,-0.3314968931229139,-0.5276922852268263
874,"1-STORY W/FINISHED ATTIC ALL AGES","Regular",0,0,1,0,0.63,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One story","Average",5,12144,288,1268,832,133000,0.007605561793022595,-0.13045143652066388,-0.046620892733635455,-0.03689516400242136,-0.06654797374032906,0.16302261575380944,-0.8651821714085748,-0.47092851881178427,-0.5138516436574966,-0.6032186065569194
278,"1-STORY 1946 & NEWER ALL STYLES","Regular",0,0,1,0,0.63,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One story","Below Average",4,19138,400,864,864,141000,0.04029620658490836,-0.05146695133025485,-0.1227324225000258,-0.031657848126807615,-0.055438405624789557,0.8637354059044361,-0.3413399644751012,-1.2397488454016614,-0.4409097434436635,-0.5025168447834619
1136,"1-STORY 1945 & OLDER","Regular",0,0,1,0,0.63,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One story","Above Average",6,6180,180,986,960,102000,-0.020270761561110476,-0.20661504723998686,-0.0997482476695812,-0.01594590049996637,-0.10959755018804467,-0.4344968409888753,-1.3703157280944243,-1.0075803309364013,-0.22208404280216426,-0.9934379334290673
946,"1-1/2 STORY FINISHED ALL AGES","Regular",0,0,1,0,0.63,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One and one-half story: 2nd level finished","Average",5,8820,456,1869,1088,124900,-0.007931141565317166,-0.011974708735050332,0.06660442753765317,0.0050033630024886215,-0.07779641145731282,-0.17000130681706316,-0.07941886100836439,0.6727868680211765,0.06968355805316806,-0.7051791403525451
176,"1-STORY 1946 & NEWER ALL STYLES","Regular",0,0,1,0,0.63,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One story","Above Average",6,12615,576,2158,1202,243000,0.00980706217863572,0.07265152539753077,0.12105054660321458,0.023661300809362597,0.08620858784833918,0.21021102355491686,0.48184064642035734,1.2227598244183906,0.32953907756494843,0.7814306178281213
576,"1-1/2 STORY FINISHED ALL AGES","Regular",0,0,1,0,0.63,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One and one-half story: 2nd level finished","Average",5,8480,336,1216,832,118500,-0.00952033504962388,-0.09660094286763143,-0.05641742626792332,-0.03689516400242136,-0.08668406594974443,-0.20406512561191775,-0.6406783684370861,-0.5698855905510753,-0.5138516436574966,-0.7857405497713111
1003,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular",0,1,0,0,0.33,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One story","Very Good",8,11957,824,1574,1574,232000,0.006731505376653902,0.24754574260486503,0.011027939218135458,0.08454509786337241,0.07093293168947236,0.14428751541663942,1.6417769617730489,0.11139578796173652,1.177488667550758,0.6429656953896172
1045,"1-STORY 1946 & NEWER ALL STYLES","Regular",0,0,1,0,0.63,"Near Flat/Level","Gentle slope",1,0,0,"Single-family Detached","One story","Very Good",8,9600,542,2524,2524,278000,-0.004285344748378233,0.04867409239329946,0.19000307109454842,0.24002791292065556,0.1348129483538245,-0.0918548989935732,0.32281711931555285,1.9192653678141702,3.3429513301489275,1.2220008255869979
